eliminator,team1,neutralvenue,balls_per_over,umpire2,umpire1,outcome,venue,date1,date2,method,season,date,team2,player_of_match,winner_wickets,winner_runs,reserve_umpire,city,winner,match_number,event,gender,match_referee,tv_umpire,toss_winner,toss_decision,matchId,match_type
,Royal Challengers Bangalore,,6,RE Koertzen,Asad Rauf,,M Chinnaswamy Stadium,,,,2008,18-04-2008,Kolkata Knight Riders,BB McCullum,,140,VN Kulkarni,Bangalore,Kolkata Knight Riders,1,Indian Premier League,male,J Srinath,AM Saheba,Royal Challengers Bangalore,field,335982,League
,Kings XI Punjab,,6,SL Shastri,MR Benson,,"Punjab Cricket Association Stadium, Mohali",,,,2008,19-04-2008,Chennai Super Kings,MEK Hussey,,33,MSS Ranawat,Chandigarh,Chennai Super Kings,2,Indian Premier League,male,S Venkataraghavan,RB Tiffin,Chennai Super Kings,bat,335983,League
,Delhi Daredevils,,6,GA Pratapkumar,Aleem Dar,,Feroz Shah Kotla,,,,2008,19-04-2008,Rajasthan Royals,MF Maharoof,9,,,Delhi,Delhi Daredevils,3,Indian Premier League,male,GR Viswanath,IL Howell,Rajasthan Royals,bat,335984,League
,Mumbai Indians,,6,DJ Harper,SJ Davis,,Wankhede Stadium,,,,2008,20-04-2008,Royal Challengers Bangalore,MV Boucher,5,,SN Bandekar,Mumbai,Royal Challengers Bangalore,5,Indian Premier League,male,J Srinath,AV Jayaprakash,Mumbai Indians,bat,335985,League
,Kolkata Knight Riders,,6,K Hariharan,BF Bowden,,Eden Gardens,,,,2008,20-04-2008,Deccan Chargers,DJ Hussey,5,,F Gomes,Kolkata,Kolkata Knight Riders,4,Indian Premier League,male,FM Engineer,Asad Rauf,Deccan Chargers,bat,335986,League
,Rajasthan Royals,,6,RB Tiffin,Aleem Dar,,Sawai Mansingh Stadium,,,,2008,21-04-2008,Kings XI Punjab,SR Watson,6,,MSS Ranawat,Jaipur,Rajasthan Royals,6,Indian Premier League,male,S Venkataraghavan,I Shivram,Kings XI Punjab,bat,335987,League
,Deccan Chargers,,6,AM Saheba,IL Howell,,"Rajiv Gandhi International Stadium, Uppal",,,,2008,22-04-2008,Delhi Daredevils,V Sehwag,9,,C Shamshuddin,Hyderabad,Delhi Daredevils,7,Indian Premier League,male,Talat Ali,MR Benson,Deccan Chargers,bat,335988,League
,Chennai Super Kings,,6,GA Pratapkumar,DJ Harper,,"MA Chidambaram Stadium, Chepauk",,,,2008,23-04-2008,Mumbai Indians,ML Hayden,,6,S Ravi,Chennai,Chennai Super Kings,8,Indian Premier League,male,FM Engineer,BF Bowden,Mumbai Indians,field,335989,League
,Deccan Chargers,,6,MR Benson,Asad Rauf,,"Rajiv Gandhi International Stadium, Uppal",,,,2008,24-04-2008,Rajasthan Royals,YK Pathan,3,,C Shamshuddin,Hyderabad,Rajasthan Royals,9,Indian Premier League,male,S Venkataraghavan,SL Shastri,Rajasthan Royals,field,335990,League
,Kings XI Punjab,,6,AM Saheba,Aleem Dar,,"Punjab Cricket Association Stadium, Mohali",,,,2008,25-04-2008,Mumbai Indians,KC Sangakkara,,66,HS Sekhon,Chandigarh,Kings XI Punjab,10,Indian Premier League,male,FM Engineer,RE Koertzen,Mumbai Indians,field,335991,League
,Royal Challengers Bangalore,,6,IL Howell,MR Benson,,M Chinnaswamy Stadium,,,,2008,26-04-2008,Rajasthan Royals,SR Watson,7,,SK Tarapore,Bangalore,Rajasthan Royals,12,Indian Premier League,male,J Srinath,GA Pratapkumar,Rajasthan Royals,field,335992,League
,Chennai Super Kings,,6,AV Jayaprakash,BF Bowden,,"MA Chidambaram Stadium, Chepauk",,,,2008,26-04-2008,Kolkata Knight Riders,JDP Oram,9,,S Ravi,Chennai,Chennai Super Kings,11,Indian Premier League,male,Talat Ali,SJ Davis,Kolkata Knight Riders,bat,335993,League
,Mumbai Indians,,6,SL Shastri,Asad Rauf,,Dr DY Patil Sports Academy,,,,2008,27-04-2008,Deccan Chargers,AC Gilchrist,10,,VD Nerurkar,Mumbai,Deccan Chargers,14,Indian Premier League,male,S Venkataraghavan,DJ Harper,Deccan Chargers,field,335994,League
,Kings XI Punjab,,6,I Shivram,RE Koertzen,,"Punjab Cricket Association Stadium, Mohali",,,,2008,27-04-2008,Delhi Daredevils,SM Katich,4,,MS Mahal,Chandigarh,Kings XI Punjab,13,Indian Premier League,male,FM Engineer,Aleem Dar,Delhi Daredevils,bat,335995,League
,Royal Challengers Bangalore,,6,RB Tiffin,BR Doctrove,,M Chinnaswamy Stadium,,,,2008,28-04-2008,Chennai Super Kings,MS Dhoni,,13,,Bangalore,Chennai Super Kings,15,Indian Premier League,male,J Srinath,K Hariharan,Chennai Super Kings,bat,335996,League
,Kolkata Knight Riders,,6,AV Jayaprakash,BF Bowden,,Eden Gardens,,,,2008,29-04-2008,Mumbai Indians,ST Jayasuriya,7,,SK Porel,Kolkata,Mumbai Indians,16,Indian Premier League,male,S Venkataraghavan,MR Benson,Kolkata Knight Riders,bat,335997,League
,Delhi Daredevils,,6,I Shivram,Aleem Dar,,Feroz Shah Kotla,,,,2008,30-04-2008,Royal Challengers Bangalore,GD McGrath,,10,AK Chaudhary,Delhi,Delhi Daredevils,17,Indian Premier League,male,CH Lloyd,IL Howell,Royal Challengers Bangalore,field,335998,League
,Deccan Chargers,,6,RB Tiffin,BR Doctrove,,"Rajiv Gandhi International Stadium, Uppal",,,,2008,01-05-2008,Kings XI Punjab,SE Marsh,7,,C Shamshuddin,Hyderabad,Kings XI Punjab,19,Indian Premier League,male,Talat Ali,SJ Davis,Kings XI Punjab,field,335999,League
